,Order ID,Product,Quantity Ordered,Price Each,Order Date1,Street,city,Address,Total_price
0,176558,USB-C Charging Cable,2.0,11.95,04/19/19,917 1st St, Dallas, TX 75001,23.9
1,176559,Bose SoundSport Headphones,1.0,99.99,04/07/19,682 Chestnut St, Boston, MA 02215,99.99
2,176560,Google Phone,1.0,600.0,04/12/19,669 Spruce St, Los Angeles, CA 90001,600.0
3,176560,Wired Headphones,1.0,11.99,04/12/19,669 Spruce St, Los Angeles, CA 90001,11.99
4,176561,Wired Headphones,1.0,11.99,04/30/19,333 8th St, Los Angeles, CA 90001,11.99
5,176562,USB-C Charging Cable,1.0,11.95,04/29/19,381 Wilson St, San Francisco, CA 94016,11.95
6,176563,Bose SoundSport Headphones,1.0,99.99,04/02/19,668 Center St, Seattle, WA 98101,99.99
7,176564,USB-C Charging Cable,1.0,11.95,04/12/19,790 Ridge St, Atlanta, GA 30301,11.95
8,176565,Macbook Pro Laptop,1.0,1700.0,04/24/19,915 Willow St, San Francisco, CA 94016,1700.0
9,176566,Wired Headphones,1.0,11.99,04/08/19,83 7th St, Boston, MA 02215,11.99
10,176567,Google Phone,1.0,600.0,04/18/19,444 7th St, Los Angeles, CA 90001,600.0
11,176568,Lightning Charging Cable,1.0,14.95,04/15/19,438 Elm St, Seattle, WA 98101,14.95
12,176569,27in 4K Gaming Monitor,1.0,389.99,04/16/19,657 Hill St, Dallas, TX 75001,389.99
13,176570,AA Batteries (4-pack),1.0,3.84,04/22/19,186 12th St, Dallas, TX 75001,3.84
14,176571,Lightning Charging Cable,1.0,14.95,04/19/19,253 Johnson St, Atlanta, GA 30301,14.95
15,176572,Apple Airpods Headphones,1.0,150.0,04/04/19,149 Dogwood St, New York City, NY 10001,150.0
16,176573,USB-C Charging Cable,1.0,11.95,04/27/19,214 Chestnut St, San Francisco, CA 94016,11.95
17,176574,Google Phone,1.0,600.0,04/03/19,20 Hill St, Los Angeles, CA 90001,600.0
18,176574,USB-C Charging Cable,1.0,11.95,04/03/19,20 Hill St, Los Angeles, CA 90001,11.95
19,176575,AAA Batteries (4-pack),1.0,2.99,04/27/19,433 Hill St, New York City, NY 10001,2.99
20,176576,Apple Airpods Headphones,1.0,150.0,04/28/19,771 Ridge St, Los Angeles, CA 90001,150.0
21,176577,Apple Airpods Headphones,1.0,150.0,04/04/19,260 Spruce St, Dallas, TX 75001,150.0
22,176578,Apple Airpods Headphones,1.0,150.0,04/09/19,513 Church St, Boston, MA 02215,150.0
23,176579,AA Batteries (4-pack),1.0,3.84,04/11/19,886 Jefferson St, New York City, NY 10001,3.84
24,176580,USB-C Charging Cable,1.0,11.95,04/05/19,886 Willow St, Los Angeles, CA 90001,11.95
25,176581,iPhone,1.0,700.0,04/09/19,84 Jackson St, Boston, MA 02215,700.0
26,176582,Bose SoundSport Headphones,1.0,99.99,04/27/19,178 Lincoln St, Atlanta, GA 30301,99.99
27,176583,AAA Batteries (4-pack),2.0,2.99,04/20/19,146 Jackson St, Portland, OR 97035,5.98
28,176584,Flatscreen TV,1.0,300.0,04/24/19,936 Church St, San Francisco, CA 94016,300.0
29,176585,Bose SoundSport Headphones,1.0,99.99,04/07/19,823 Highland St, Boston, MA 02215,99.99
30,176586,AAA Batteries (4-pack),2.0,2.99,04/10/19,365 Center St, San Francisco, CA 94016,5.98
31,176586,Google Phone,1.0,600.0,04/10/19,365 Center St, San Francisco, CA 94016,600.0
32,176587,27in FHD Monitor,1.0,149.99,04/29/19,557 5th St, Los Angeles, CA 90001,149.99
33,176588,20in Monitor,1.0,109.99,04/02/19,765 Cherry St, Seattle, WA 98101,109.99
34,176589,Lightning Charging Cable,1.0,14.95,04/04/19,846 Highland St, Atlanta, GA 30301,14.95
35,176590,Google Phone,1.0,600.0,04/11/19,873 6th St, New York City, NY 10001,600.0
36,176591,Apple Airpods Headphones,1.0,150.0,04/21/19,600 Maple St, Austin, TX 73301,150.0
37,176592,USB-C Charging Cable,1.0,11.95,04/27/19,352 4th St, Los Angeles, CA 90001,11.95
38,176593,Lightning Charging Cable,2.0,14.95,04/15/19,906 7th St, Portland, OR 97035,29.9
39,176594,Wired Headphones,1.0,11.99,04/17/19,63 Maple St, San Francisco, CA 94016,11.99
40,176595,Wired Headphones,3.0,11.99,04/02/19,383 6th St, Los Angeles, CA 90001,35.97
41,176596,Apple Airpods Headphones,1.0,150.0,04/27/19,572 Meadow St, Dallas, TX 75001,150.0
42,176597,USB-C Charging Cable,1.0,11.95,04/19/19,681 11th St, San Francisco, CA 94016,11.95
43,176598,AAA Batteries (4-pack),2.0,2.99,04/21/19,294 Park St, San Francisco, CA 94016,5.98
44,176599,Lightning Charging Cable,1.0,14.95,04/11/19,279 Maple St, New York City, NY 10001,14.95
45,176600,27in 4K Gaming Monitor,1.0,389.99,04/30/19,87 West St, Boston, MA 02215,389.99
46,176601,USB-C Charging Cable,1.0,11.95,04/02/19,754 10th St, Los Angeles, CA 90001,11.95
47,176602,Lightning Charging Cable,1.0,14.95,04/30/19,9 Jefferson St, Dallas, TX 75001,14.95
